id,title,url,author,points,time,numOfComments
1,"SCIM: Ncurses based, Vim-like spreadsheet",https://github.com/andmarti1424/sc-im,emersonrsantos,216 points,9 hours ago,55 comments
2,The Snapdragon X Elite's Adreno iGPU,https://chipsandcheese.com/2024/07/04/the-snapdragon-x-elites-adreno-igpu/,pella,68 points,5 hours ago,11 comments
3,"Mechanical computer relies on kirigami cubes, not electronics",https://news.ncsu.edu/2024/06/kirigami-mechanical-computer/,gnabgib,138 points,11 hours ago,82 comments
4,Gravitational wave researchers cast new light on Antikythera mechanism mystery,https://www.gla.ac.uk/news/headline_1086643_en.html,ulrischa,127 points,8 hours ago,76 comments
5,The sad state of property-based testing libraries,https://stevana.github.io/the_sad_state_of_property-based_testing_libraries.html,nequo,127 points,12 hours ago,69 comments
6,Bone tissue reparation using coral and marine sponges,https://web.stanford.edu/group/mota/education/Physics%2087N%20Final%20Projects/Group%20Gamma/bone.htm,alexandrehtrb,17 points,3 hours ago,1 comment
7,Analyzing my electricity consumption,https://zdimension.fr/analyzing-my-electricity-consumption/,skadamat,174 points,13 hours ago,176 comments
8,Oldest cave art found,https://www.bbc.com/news/articles/c0vewjq4dxwo,rntn,122 points,13 hours ago,57 comments
9,"Insights from over 10,000 comments on ""Ask HN: Who Is Hiring"" using GPT-4o",https://tamerc.com/posts/ask-hn-who-is-hiring/,comcuoglu,259 points,8 hours ago,113 comments
10,"Roku update turns on hated motion-smoothing feature, with no off switch",https://boingboing.net/2024/07/04/roku-update-turns-on-hated-motion-smoothing-feature-with-no-off-switch.html,thunderbong,9 points,52 minutes ago,1 comment
